No,Date,Month,Ticket number,W/O number,Category,Discirption,Location,Teams,Amount,Released Date,Days Taken,W/O Status,
1,18-Mar-25,,RFS-1-12363758419,WO/43023,Masonry,REDACTED,REDACTED,T1 Masonry,"$2,099.50 ",24-Aug-25,,Closed,
2,28-Apr-25,,CT-01465,WO/44055,Welding & Painting,REDACTED,REDACTED,Team 4,$691.80 ,8-Feb-26,,Closed,
3,16-Jul-25,,IM-1-12485872999,WO/45667,Carpentry RF,REDACTED,REDACTED,Aljazeera II,$450.00 ,17-Jul-25,,Closed,
4,21-Jul-25,,IM-1-12485872999,WO/45742,Carpentry RF,REDACTED,REDACTED,Team 2 ,$217.50 ,9-Feb-26,,Closed,
5,26-Jul-25,,RFS-1-1242008687,WO/45654,Carpentry RF,REDACTED,REDACTED,Aljazeera II,$18.00 ,23-Aug-25,,Closed,
6,4-Aug-25,,IM-1-12513951968,WO/46048,Carpentry RF,REDACTED,REDACTED,Team 5,"$1,096.80 ",8-Sep-25,,Closed,
7,5-Aug-25,,RFS-1-12515375739,WO/46077,Plumbing,REDACTED,REDACTED,T1 Plumbing,$131.00 ,23-Aug-25,,Closed,
8,5-Aug-25,,IM-1-12503468417,WO/46057,Welding & Painting,REDACTED,REDACTED,Welding,"$4,247.20 ",8-Sep-25,,Closed,
9,6-Aug-25,,IM-1-12554122557,WO/46883,Plumbing,REDACTED,REDACTED,T1 Plumbing,$115.20 ,11-Sep-25,,Closed,
10,9-Aug-25,,RFS-1-12512491304,WO/46147,Welding & Painting,REDACTED,REDACTED,Team 4,$351.40 ,23-Aug-25,,Closed,
11,9-Aug-25,,IM-1-12485873034,WO/46151,Welding & Painting,REDACTED,REDACTED,Team 3,$540.50 ,23-Aug-25,,Closed,
12,9-Aug-25,,RFS-1-12516248955,WO/46145,Masonry,REDACTED,REDACTED,T1 Masonry,$230.00 ,26-Aug-25,,Closed,
13,10-Aug-25,,CT-02237,WO/46172,Masonry,REDACTED,REDACTED,T1 Masonry,"$3,496.50 ",23-Aug-25,,Closed,
14,11-Aug-25,,IM-1-12517727165,WO/46190,Carpentry FF,REDACTED,REDACTED,T1 Carpentry,$805.60 ,23-Aug-25,,Approved,
15,11-Aug-25,,IM-1-12520259388,WO/46195,Carpentry RF,REDACTED,REDACTED,T1 Carpentry,$884.40 ,23-Aug-25,,Approved,
16,11-Aug-25,,IM-1-12520287718,WO/46188,Carpentry RF,REDACTED,REDACTED,T1 Carpentry,$951.12 ,23-Aug-25,,Closed,
17,11-Aug-25,,CT-02234,WO/46185,Welding & Painting,REDACTED,REDACTED,Team 3,$879.50 ,23-Aug-25,,Closed,
18,11-Aug-25,,IM-1-12506963263,WO/46199,Carpentry RF,REDACTED,REDACTED,Team 5,$124.00 ,23-Aug-25,,Closed,
19,11-Aug-25,,IM-1-12515179535,WO/46197,Welding & Painting,REDACTED,REDACTED,Team 5,$424.50 ,26-Aug-25,,Closed,
20,11-Aug-25,,CT-02250,,Plumbing,REDACTED,REDACTED,T1 Plumbing,$723.00 ,8-Sep-25,,Closed,
21,12-Aug-25,,RFS-1-12515293407,WO/46312,Welding & Painting,REDACTED,REDACTED,T1 Painting,$210.36 ,23-Aug-25,,Closed,
22,12-Aug-25,,RFS-12521343050,WO/46227,Plumbing,REDACTED,REDACTED,T1 Plumbing,$114.00 ,23-Aug-25,,Approved,
23,13-Aug-25,,RFS-1-12522808360,WO/46238,Carpentry RF,REDACTED,REDACTED,T1 Carpentry,$134.70 ,23-Aug-25,,Closed,
24,13-Aug-25,,RFS-1-12475229439,WO/46242,Plumbing,REDACTED,REDACTED,Team 3,$315.00 ,13-Aug-25,,Closed,
25,13-Aug-25,,IM-1-12520846258,WO/46252,Masonry,REDACTED,REDACTED,T1 Masonry,$408.00 ,23-Aug-25,,Closed,
26,13-Aug-25,,IM-1-12522532505,WO/46241,Carpentry RF,REDACTED,REDACTED,T1 Carpentry,$9.00 ,23-Aug-25,,Closed,
27,13-Aug-25,,IM-1-12512963318,WO/46246,Plumbing,REDACTED,REDACTED,Team 5,$32.00 ,23-Aug-25,,Closed,
28,13-Aug-25,,RFS-1-12520787399,WO/46243,Masonry,REDACTED,REDACTED,T1 Masonry,$790.00 ,23-Aug-25,,Closed,
29,13-Aug-25,,RFS-1-12522734518,WO/46245,Carpentry FF,REDACTED,REDACTED,T1 Carpentry,$143.28 ,23-Aug-25,,Closed,
30,13-Aug-25,,CT-02267,WO/46264,Welding & Painting,REDACTED,REDACTED,T1 Painting,$226.00 ,14-Aug-25,,Rejected,
31,13-Aug-25,,RFS-1-12499911622,WO/46251,Carpentry FF,REDACTED,REDACTED,T1 Carpentry,$622.84 ,8-Sep-25,,Closed,
32,14-Aug-25,,IM-1-12522977938,WO/46297,Carpentry RF,REDACTED,REDACTED,T1 Carpentry,$301.50 ,23-Aug-25,,Closed,
33,14-Aug-25,,RFS-1-12520845637,WO/46279,Carpentry RF,REDACTED,REDACTED,Team 3,"$1,093.20 ",23-Aug-25,,Approved,
34,14-Aug-25,,IM-1-12522807831,WO/46304,Welding & Painting,REDACTED,REDACTED,T1 Painting,$889.10 ,23-Aug-25,,Closed,
35,14-Aug-25,,RFS-1-12522808034,WO/46303,Welding & Painting,REDACTED,REDACTED,T1 Painting,$345.40 ,23-Aug-25,,Closed,
36,14-Aug-25,,RFS-1-125225236299,WO/46321,Plumbing,REDACTED,REDACTED,T1 Plumbing,$263.00 ,23-Aug-25,,Closed,
37,14-Aug-25,,RFS-1-12521585097,WO/46302,Welding & Painting,REDACTED,REDACTED,Welding,$120.00 ,19-Aug-25,,Closed,
38,14-Aug-25,,RFS-1-12522808034,WO/46299,Plumbing,REDACTED,REDACTED,T1 Plumbing,$446.50 ,19-Aug-25,,Closed,
39,14-Aug-25,,RFS-1-12521153847,WO/46310,Welding & Painting,REDACTED,REDACTED,Welding,$209.20 ,23-Aug-25,,Closed,
40,14-Aug-25,,CT-02277,WO/46319,Masonry,REDACTED,REDACTED,T1 Masonry,"$1,606.00 ",23-Aug-25,,Closed,
41,14-Aug-25,,CT-02278,WO/46320,Plumbing,REDACTED,REDACTED,T1 Plumbing,$237.50 ,,,Rejected,
42,14-Aug-25,,RFS1-12509786658,WO/46281,Masonry,REDACTED,REDACTED,Team 4,$144.96 ,23-Aug-25,,Closed,
43,14-Aug-25,,CT-02234,WO/46278,Carpentry RF,REDACTED,REDACTED,Team 3,$26.40 ,23-Aug-25,,Closed,
44,14-Aug-25,,IM-1-12517401076,WO/46282,Masonry,REDACTED,REDACTED,Team 4,$559.42 ,23-Aug-25,,Closed,
45,14-Aug-25,,IM-1-12522807806,WO/46298,Carpentry RF,REDACTED,REDACTED,T1 Carpentry,$189.21 ,23-Aug-25,,Closed,
46,14-Aug-25,,CT-02275,WO/46294,Plumbing,REDACTED,REDACTED,T1 Plumbing,$244.00 ,14-Aug-25,,Closed,
47,14-Aug-25,,IM-1-12508641786,WO/46283,Plumbing,REDACTED,REDACTED,Team 4,"$1,553.00 ",1-Sep-25,,Closed,
48,14-Aug-25,,IM-1-12520781431,WO/46280,Carpentry RF,REDACTED,REDACTED,Team 3,$120.00 ,26-Aug-25,,Closed,
49,14-Aug-25,,RFS-1-12520780915,WO/46317,Carpentry FF,REDACTED,REDACTED,T1 Carpentry,$177.48 ,3-Sep-25,,Approved,
50,14-Aug-25,,IM-1-12530071837,WO/46414,Carpentry FF,REDACTED,REDACTED,Team 5,$29.80 ,23-Aug-25,,Approved,
51,14-Aug-25,,CT-02278,WO/46322,Plumbing,REDACTED,REDACTED,T1 Plumbing,$237.50 ,14-Aug-25,,Closed,
52,16-Aug-25,,IM-1-12521724206,WO/46330,Carpentry RF,REDACTED,REDACTED,Team 4,$4.80 ,23-Aug-25,,Closed,
53,16-Aug-25,,IM-1-12517282376,WO/46276,Welding & Painting,REDACTED,REDACTED,Welding,"$1,748.70 ",23-Aug-25,,Closed,
54,16-Aug-25,,RFS-1-12525538235,WO/46345,Welding & Painting,REDACTED,REDACTED,T1 Painting,"$1,425.10 ",23-Aug-25,,Closed,
55,16-Aug-25,,RFS-1-12521724212,WO/46331,Welding & Painting,REDACTED,REDACTED,Team 4,$298.50 ,26-Aug-25,,Closed,
56,16-Aug-25,,RFS-1-12523825439,WO/46332,Plumbing,REDACTED,REDACTED,T1 Plumbing,$594.50 ,23-Aug-25,,Closed,
57,16-Aug-25,,IM-1-12538148026,WO/46589,Carpentry RF,REDACTED,REDACTED,T1 Carpentry,$75.00 ,24-Aug-25,,Closed,
58,16-Aug-25,,RFS-1-12514929462,WO/46342,Welding & Painting,REDACTED,REDACTED,T1 Painting,$287.30 ,11-Sep-25,,Closed,
59,17-Aug-25,,RFS-1-12525693351,WO/46361,Carpentry FF,REDACTED,REDACTED,T1 Carpentry,$378.00 ,23-Aug-25,,Closed,
60,17-Aug-25,,IM-1-12525577998,WO/46366,Carpentry RF,REDACTED,REDACTED,T1 Carpentry,$14.65 ,23-Aug-25,,Closed,
61,17-Aug-25,,RFS-1-12523988762,WO/46377,Carpentry RF,REDACTED,REDACTED,Team 2 ,$96.00 ,23-Aug-25,,Closed,
62,17-Aug-25,,IM-1-12524050904,WO/46371,Welding & Painting,REDACTED,REDACTED,Team 4,$384.80 ,23-Aug-25,,Closed,
63,17-Aug-25,,IM-1-12518667434,WO/46365,Welding & Painting,REDACTED,REDACTED,Team 2 ,"$1,501.30 ",23-Aug-25,,Closed,
64,17-Aug-25,,IM-1-12523048798,WO/46378,Plumbing,REDACTED,REDACTED,Team 2 ,$452.50 ,23-Aug-25,,Closed,
65,17-Aug-25,,RFS-1-12524036775,WO/46372,Welding & Painting,REDACTED,REDACTED,Team 4,$246.80 ,26-Aug-25,,Closed,
66,17-Aug-25,,IM-1-12522532551,WO/46379,Carpentry RF,REDACTED,REDACTED,Team 2 ,$130.24 ,26-Aug-25,,Closed,
67,17-Aug-25,,IM-1-112525299789,WO/46351,Plumbing,REDACTED,REDACTED,Team 4,"$1,934.50 ",1-Sep-25,,Closed,
68,17-Aug-25,,IM-1-12524165787,WO/46359,Plumbing,REDACTED,REDACTED,T1 Plumbing,$335.28 ,24-Aug-25,,Closed,
69,17-Aug-25,,RFS-1-12514060874,WO/46370,Welding & Painting,REDACTED,REDACTED,Team 4,$216.90 ,28-Aug-25,,Approved,
70,17-Aug-25,,RFS-1-12525652808,WO/46363,Masonry,REDACTED,REDACTED,Team 2 ,$324.50 ,28-Aug-25,,Closed,
71,17-Aug-25,,RFS-1-12520780681,WO/46362,Carpentry RF,REDACTED,REDACTED,T1 Carpentry,$216.00 ,3-Sep-25,,Closed,
72,17-Aug-25,,IM-1-12522718378,WO/46375,Carpentry RF,REDACTED,REDACTED,T1 Carpentry,$210.00 ,3-Sep-25,,Closed,
73,18-Aug-25,,CT-02067,WO/46388,Carpentry RF,REDACTED,REDACTED,T1 Carpentry,$8.70 ,23-Aug-25,,Closed,
74,18-Aug-25,,CT-02311,WO/46385,Plumbing,REDACTED,REDACTED,T1 Plumbing,$259.00 ,24-Aug-25,,Closed,
75,18-Aug-25,,CT-02317,WO/46396,Plumbing,REDACTED,REDACTED,T1 Plumbing,$538.78 ,24-Aug-25,,Closed,
76,18-Aug-25,,IM-1-12522459152,WO/46432,Carpentry FF,REDACTED,REDACTED,T1 Carpentry,$181.00 ,28-Aug-25,,Approved,
77,19-Aug-25,,RFS-1-12528887933,WO/46424,Carpentry RF,REDACTED,REDACTED,T1 Carpentry,$130.81 ,23-Aug-25,,Closed,
78,19-Aug-25,,RFS-1-12528783856,WO/46425,Carpentry RF,REDACTED,REDACTED,T1 Carpentry,$121.26 ,23-Aug-25,,Closed,
79,19-Aug-25,,RFS-1-12523867256,WO/46427,Carpentry FF,REDACTED,REDACTED,Team 3,$84.00 ,26-Aug-25,,Approved,
80,19-Aug-25,,IM-1-12542002962,WO/46674,Plumbing,REDACTED,REDACTED,Team 2 ,$176.25 ,3-Sep-25,,Closed,
81,20-Aug-25,,CT-02341,WO/46468,Carpentry RF,REDACTED,REDACTED,Team 2 ,$239.76 ,20-Aug-25,,Closed,
82,21-Aug-25,,RFS-1-12530946114,WO/46482,Masonry,REDACTED,REDACTED,T1 Masonry,$581.00 ,10-Sep-25,,Closed,
83,21-Aug-25,,CT-02349,WO/46479,Welding & Painting,REDACTED,REDACTED,Team 4,$94.00 ,28-Aug-25,,Closed,
84,21-Aug-25,,IM-1-12533567522,WO/46492,Carpentry RF,REDACTED,REDACTED,T1 Carpentry,$328.92 ,28-Aug-25,,Closed,
85,22-Aug-25,,RFS-1-12532530539,WO/46496,Carpentry FF,REDACTED,REDACTED,Team 3,$312.60 ,26-Aug-25,,Closed,
86,22-Aug-25,,IM-1-12532238771,WO/46495,Carpentry RF,REDACTED,REDACTED,Team 3,$708.00 ,26-Aug-25,,Closed,
87,22-Aug-25,,RFS-1-12528887769,WO/46494,Carpentry RF,REDACTED,REDACTED,Team 3,$261.80 ,,,Rejected,
88,22-Aug-25,,IM-1-12532167818,WO/46493,Masonry,REDACTED,REDACTED,Team 3,"$1,498.50 ",26-Aug-25,,Approved,
89,23-Aug-25,,RFS-1-12474121576,WO/45373,Carpentry FF,REDACTED,REDACTED,T1 Carpentry,$76.04 ,30-Aug-25,,Closed,
90,23-Aug-25,,RFS-1-12534065965,WO/46518,Masonry,REDACTED,REDACTED,Team 2 ,"$1,486.00 ",26-Aug-25,,Closed,
91,23-Aug-25,,RFS-1-12534065965,WO/46519,Plumbing,REDACTED,REDACTED,Team 2 ,"$2,594.95 ",10-Sep-25,,Approved,
92,23-Aug-25,,IM-1-12534065531,WO/46521,Plumbing,REDACTED,REDACTED,Team 2 ,$452.50 ,26-Aug-25,,Closed,
93,23-Aug-25,,CT-02359,WO/46511,Plumbing,REDACTED,REDACTED,Team 4,$560.56 ,30-Aug-25,,Closed,
94,23-Aug-25,,RFS-1-12534190989,WO/46520,Welding & Painting,REDACTED,REDACTED,Team 2 ,$312.82 ,8-Sep-25,,Closed,
95,24-Aug-25,,RFS-1-12535112818,WO/46530,Plumbing,REDACTED,REDACTED,T1 Plumbing,$377.50 ,28-Aug-25,,Closed,
96,24-Aug-25,,IM-1-12533767485,WO/46531,Welding & Painting,REDACTED,REDACTED,Team 3,$418.60 ,28-Aug-25,,Closed,
97,24-Aug-25,,RFS-1-12535186297,WO/46527,Carpentry RF,REDACTED,REDACTED,T1 Carpentry,$91.80 ,28-Aug-25,,Closed,
98,24-Aug-25,,RFS-1-12535009057,WO/46528,Carpentry RF,REDACTED,REDACTED,T1 Carpentry,$56.00 ,28-Aug-25,,Closed,
99,24-Aug-25,,IM-1-12533567522,WO/46529,Masonry,REDACTED,REDACTED,T1 Masonry,$431.00 ,,,Rejected,
100,24-Aug-25,,IM-1-12533483065,WO/46526,Carpentry RF,REDACTED,REDACTED,T1 Carpentry,$281.25 ,3-Sep-25,,Approved,
101,24-Aug-25,,RFS1-12534190521,WO/46524,Carpentry FF,REDACTED,REDACTED,T1 Carpentry,$33.50 ,29-Aug-25,,Closed,
102,24-Aug-25,,IM-1-12532337521,WO/46525,Masonry,REDACTED,REDACTED,T1 Masonry,$519.00 ,,,Rejected,
103,24-Aug-25,,IM-1-12427850958,WO/46537,Plumbing,REDACTED,REDACTED,T1 Plumbing,$201.00 ,28-Aug-25,,Closed,
104,24-Aug-25,,RFS1-12532288603,WO/46539,Masonry,REDACTED,REDACTED,Team 4,"$1,174.20 ",,,Rejected,
105,24-Aug-25,,IM-1-12447820144,WO/46540,Carpentry RF,REDACTED,REDACTED,Team 4,$757.00 ,,,Rejected,
106,25-Aug-25,,IM-1-12530071854,WO/46546,Plumbing,REDACTED,REDACTED,Team 4,$357.50 ,28-Aug-25,,Closed,
107,25-Aug-25,,RFS-1-12528783812,WO/46545,Carpentry RF,REDACTED,REDACTED,Team 4,$147.00 ,8-Sep-25,,Closed,
108,25-Aug-25,,IM-1-12537768132,WO/46542,Welding & Painting,REDACTED,REDACTED,T1 Painting,$259.40 ,28-Aug-25,,Closed,
109,25-Aug-25,,RFS-1-12536920447,WO/46553,Masonry,REDACTED,REDACTED,T1 Masonry,$496.00 ,,,Rejected,
110,25-Aug-25,,IM-1-12537420787,WO/46566,Carpentry RF,REDACTED,REDACTED,T1 Carpentry,$71.00 ,3-Sep-25,,Closed,
111,25-Aug-25,,RFS-1-12525538245,WO/46548,Welding & Painting,REDACTED,REDACTED,T1 Painting,$354.28 ,3-Sep-25,,Closed,
112,25-Aug-25,,RFS-1-12531171827,WO/46562,Welding & Painting,REDACTED,REDACTED,Team 2 ,"$1,297.20 ",8-Sep-25,,Closed,
113,25-Aug-25,,CT-02381,WO/46575,Welding & Painting,REDACTED,REDACTED,T1 Painting,$752.80 ,25-Aug-25,,Closed,
114,26-Aug-25,,RFS-1-12539216116,WO/46596,Masonry,REDACTED,REDACTED,T1 Masonry,$120.00 ,3-Sep-25,,Closed,
115,26-Aug-25,,IM-1-12538148088,WO/46597,Welding & Painting,REDACTED,REDACTED,T1 Painting,$329.40 ,3-Sep-25,,Closed,
116,26-Aug-25,,IM-1-12537421308 ,WO/46600,Carpentry FF,REDACTED,REDACTED,T1 Carpentry,$188.08 ,3-Sep-25,,Closed,
117,26-Aug-25,,IM-1-12538148137,WO/46599,Carpentry RF,REDACTED,REDACTED,T1 Carpentry,$317.40 ,3-Sep-25,,Closed,
118,26-Aug-25,,: IM-1-12522977647,WO/46268,Plumbing,REDACTED,REDACTED,T1 Plumbing,$306.25 ,4-Sep-25,,Closed,
119,26-Aug-25,,RFS-1-12523988997,WO/46350,Welding & Painting,REDACTED,REDACTED,Team 2 ,"$1,258.80 ",,,Rejected,
120,26-Aug-25,,RFS-1-12471220731,WO/46405,Plumbing,REDACTED,REDACTED,Team 4,"$1,050.00 ",,,Rejected,
121,26-Aug-25,,RFS-1-12520780915,WO/46316,Plumbing,REDACTED,REDACTED,Team 4,$529.50 ,,,Rejected,
122,26-Aug-25,,RFS-1-12514060880,WO/46186,Welding & Painting,REDACTED,REDACTED,Team 3,"$1,075.30 ",,,Rejected,
123,26-Aug-25,,IM-1-12538111802,WO/46601,Carpentry RF,REDACTED,REDACTED,Team 3,$228.00 ,3-Sep-25,,Approved,
124,26-Aug-25,,IM-1-12538148386,"WO/46603",Carpentry RF,REDACTED,REDACTED,Team 5,$23.40 ,3-Sep-25,,Approved,
125,26-Aug-25,,IM-1-12537674611,WO/46602,Plumbing,REDACTED,REDACTED,Team 4,$753.80 ,28-Aug-25,,Closed,
126,26-Aug-25,,IM-1-12537767897,WO/46607,Plumbing,REDACTED,REDACTED,T1 Plumbing,$259.00 ,3-Sep-25,,Closed,
127,26-Aug-25,,RFS-1-12523866683,WO/46604,Welding & Painting,REDACTED,REDACTED,Team 3,$311.00 ,6-Sep-25,,Closed,
128,26-Aug-25,,IM-1-12537421079,WO/46613,Masonry,REDACTED,REDACTED,T1 Masonry,$384.65 ,3-Sep-25,,Approved,
129,26-Aug-25,,RFS-1-12539215609,"WO/46616",Carpentry RF,REDACTED,REDACTED,T1 Carpentry,$320.00 ,30-Aug-25,,Closed,
130,26-Aug-25,,RFS-1-12539404184 ,WO/46614,Plumbing,REDACTED,REDACTED,T1 Plumbing,$364.50 ,3-Sep-25,,Closed,
131,27-Aug-25,,RFS-1-12535185675,WO/46617,Welding & Painting,REDACTED,REDACTED,Team 3,"$2,543.90 ",3-Sep-25,,Closed,
132,27-Aug-25,,RFS-1-12540203645,WO/46609,Plumbing,REDACTED,REDACTED,T1 Plumbing,$279.50 ,3-Sep-25,,Closed,
133,27-Aug-25,,IM-1-12538148137,WO/46615,Masonry,REDACTED,REDACTED,T1 Masonry,$421.16 ,3-Sep-25,,Closed,
134,27-Aug-25,,IM-1-12537767948,WO/46623,Masonry,REDACTED,REDACTED,Team 3,$710.50 ,3-Sep-25,,Closed,
135,27-Aug-25,,RFS-1-12540779705,WO/46665,Plumbing,REDACTED,REDACTED,T1 Plumbing,$266.85 ,3-Sep-25,,Closed,
136,27-Aug-25,,RFS-1-12536920196,WO/46628,Plumbing,REDACTED,REDACTED,T1 Plumbing,$889.90 ,28-Aug-25,,Closed,
137,27-Aug-25,,RFS-1-12540024193,WO/46664,Welding & Painting,REDACTED,REDACTED,T1 Painting,"$4,621.00 ",,,Rejected,
138,28-Aug-25,, CT-02398,WO/46627,Plumbing,REDACTED,REDACTED,T1 Plumbing,$314.50 ,29-Aug-25,,Closed,
139,28-Aug-25,, CT-02396,WO/46666,Plumbing,REDACTED,REDACTED,T1 Plumbing,$230.00 ,30-Aug-25,,Closed,
140,28-Aug-25,,IM-1-12538112288,WO/46675,Plumbing,REDACTED,REDACTED,Team 2 ,$237.50 ,6-Sep-25,,Closed,
141,28-Aug-25,,RFS-1-12538112364,WO/46676,Carpentry FF,REDACTED,REDACTED,Team 2 ,$367.20 ,4-Sep-25,,Closed,
142,28-Aug-25,,IM-1-12538112243,WO/46677,Welding & Painting,REDACTED,REDACTED,Team 2 ,$462.00 ,3-Sep-25,,Closed,
143,28-Aug-25,, IM-12525235113,WO/46678,Plumbing,REDACTED,REDACTED,Team 3,$532.50 ,31-Aug-25,,Closed,
144,28-Aug-25,,CT-02392,WO/46608,Plumbing,REDACTED,REDACTED,T1 Plumbing,$548.60 ,30-Aug-25,,Closed,
145,28-Aug-25,,IM-1-12538840993,WO/46724,Carpentry FF,REDACTED,REDACTED,T1 Carpentry,$186.40 ,14-Sep-25,,Closed,
146,28-Aug-25,,RFS-1-12540137769,WO/46723,Carpentry FF,REDACTED,REDACTED,T1 Carpentry,$35.30 ,,,Rejected,
147,28-Aug-25,,IM-1-12538111565,WO/46720,Carpentry RF,REDACTED,REDACTED,T1 Carpentry,$62.50 ,8-Sep-25,,Approved,
148,28-Aug-25,,RFS-1-12542116195,WO/46717,Carpentry FF,REDACTED,REDACTED,T1 Carpentry,$910.44 ,10-Sep-25,,Closed,
149,28-Aug-25,,RFS-1-12542185244,WO/46683,Masonry,REDACTED,REDACTED,T1 Masonry,$722.10 ,,,Rejected,
150,28-Aug-25,,IM-1-12542034021,WO/46680,Welding & Painting,REDACTED,REDACTED,T1 Painting,$104.40 ,3-Sep-25,,Closed,
151,30-Aug-25,,RFS-1-12540262407,WO/46725,Plumbing,REDACTED,REDACTED,Team 3,$259.00 ,3-Sep-25,,Closed,
152,30-Aug-25,,IM-1-12537420885,WO/46729,Carpentry RF,REDACTED,REDACTED,Team 2 ,$28.00 ,,,Rejected,
153,30-Aug-25,,IM-1-12543165192,WO/46744,Plumbing,REDACTED,REDACTED,T1 Plumbing,$294.50 ,3-Sep-25,,Closed,
154,30-Aug-25,,RFS-1-125381136995,WO/46746,Carpentry FF,REDACTED,REDACTED,T1 Carpentry,$726.62 ,4-Sep-25,,Closed,
155,30-Aug-25,,IM-1-12543891079,WO/46740,Plumbing,REDACTED,REDACTED,T1 Plumbing,$289.50 ,4-Sep-25,,Closed,
156,30-Aug-25,,RFS-12541537748,WO/46727,Plumbing,REDACTED,REDACTED,T1 Plumbing,"$1,640.00 ",8-Sep-25,,Closed,
157,30-Aug-25,,RFS-1-12541538163,WO/46726,Plumbing,REDACTED,REDACTED,T1 Plumbing,$411.30 ,8-Sep-25,,Closed,
158,30-Aug-25,,CT-02407,WO/46742,Masonry,REDACTED,REDACTED,T1 Masonry,"$1,608.50 ",30-Aug-25,,Closed,
159,30-Aug-25,,CT-02408,WO/46747,Plumbing,REDACTED,REDACTED,T1 Plumbing,$281.00 ,30-Aug-25,,Closed,
160,30-Aug-25,,CT-02406,WO/46734,Carpentry FF,REDACTED,REDACTED,T1 Carpentry,$149.36 ,14-Sep-25,,Closed,
161,31-Aug-25,,RFS-1-12538984700,WO/46762,Welding & Painting,REDACTED,REDACTED,Welding,$58.00 ,6-Sep-25,,Closed,
162,31-Aug-25,,RFS-1-12541811728,WO/46759,Carpentry FF,REDACTED,REDACTED,T1 Carpentry,$165.00 ,6-Sep-25,,Closed,
163,31-Aug-25,,RFS-1-12540023734,WO/46764,Carpentry FF,REDACTED,REDACTED,T1 Carpentry,$337.92 ,,,Rejected,
164,31-Aug-25,,RFS-1-12542002736,WO/46763,Welding & Painting,REDACTED,REDACTED,Team 2 ,$958.00 ,6-Sep-25,,Rejected,
165,31-Aug-25,,RFS-1-12540494309,WO/46761,Welding & Painting,REDACTED,REDACTED,Welding,$126.40 ,6-Sep-25,,Closed,
166,31-Aug-25,,: RFS-1-12509786613,WO/45989,Plumbing,REDACTED,REDACTED,T1 Plumbing,"$1,292.00 ",,,Closed,
167,31-Aug-25,,CT-02410,WO/46754,Plumbing,REDACTED,REDACTED,Team 4,$550.34 ,,,Closed,
168,31-Aug-25,,CT-02413,WO/46756,Plumbing,REDACTED,REDACTED,Team 4,$249.50 ,,,Closed,
169,31-Aug-25,,CT-02412,WO/46755,Plumbing,REDACTED,REDACTED,T1 Plumbing,$67.00 ,31-Aug-25,,Closed,
